"ordernum","sku"
"G1121606","G12010"
"G1121621","FBFG-RD-CP1-RF"
"G1121621","BFG-OR-BL2-RF"
"G1121637","CG-PK-PK1-RF"
"G1121639","OG-PR-PR1"
"G1121641","CG-CL-PR2-RF"
"G1121641","BFG-BK-AM2-RF"
"G1121641","CG-PK-PK1-RF"
"G1121641","OG-PR-PR1"
"G1121670","OG-PR-PR1"
"G1121677","OG-GY-LG1"
"G1121699","RG-CL-RB1-RF"
"G1121700","OG-OR-BL1"
"G1121720","FBFG-RD-CP1-RF"
"G1121726","OG-BK-CL1-BLB"
"G1121740","OG-BK-AM1"
"G1121740","OG-GY-CH1"
"G1121740","MG-BK-BK1-NR"
"G1121742","CG-CL-CLBM-PC"
"G1121765","FOG-BL-BL1-RF"
"G1121768","OG-BK-BL1"
"G1121783","RG-CL-RB1-RF"
"G1121807","OG-GY-CH1"
"G1121813","MG-GY-BK1-FE"
"G1121813","OG-RDBL-LLB2-RF"
"G1121813","OG-GY-LG1"
"G1121827","MG-GY-BK1-FE"
"G1121827","OG-BK-CL1-BLB"
"G1121827","BFG-GR-GR1"
"G1121832","MG-BL-GRYL1-GR"
"G1121834","MG-BK-BK1-NR"
"G1121853","OG-TL-PR1"
"G1121887","OG-PR-PR1"
"G1121899","OG-BK-PK1-RF"
"G1121899","MG-GY-BK1-FE"
"G1121899","OG-GY-CH1"
"G1121903","CG-TR-BR1-NR"
"G1121912","RG-TR-BL1-RF"
"G1121925","RG-GN-CLBM-PC"
"G1121953","OG-BK-BL1"
"G1121969","CG-BK-BK1-NR"
"G1121973","OG-BK-BL1"
"G1122010","OG-PK-CLBM-PC"
"G1122013","MG-GY-BK1-FE"
"G1122013","FOG-BL-BL1-RF"
"G1122023","OG-PR-PR1"
"G1122023","FOG-WH-RS1-RF"
"G1122030","FOG-BL-BL1-RF"
"G1122037","MG-TR-BR1-NR"
"G1122037","OG-GY-LG1"
"G1122075","RG-RDPRL-BK1-NR"
"G1122094","BFG-TR-GR1"
"G1122107","OG-BK-PK1-RF"
"G1122113","OG-BK-TL1"
"G1122113","OG-TL-PR1"
"G1122118","FOG-BL-BL1-RF"
"G1122128","G12037-WHYL-10.0"
"G1122139","CG-TR-BR1-NR"
"G1122140","OG-BK-AM1"
"G1122146","OG-LB-GL1"
"G1122146","OG-GY-LG1"
"G1122157","FBFG-WD-CP1-RF"
"G1122159","MG-OR-RS2-RF"
"G1122165","OG-RSEX21-AM4-RF"
"G1122165","OG-LB-GL1"
"G1122165","OG-WH-BL1"
"G1122169","FBFG-WD-CP1-RF"
"G1122179","MG-BK-BK1-NR"
"G1122179","FOG-BL-BL1-RF"
"G1122190","OG-PR-PR1"
"G1122201","OG-PR-PR1"
"G1122203","GC-30"
"G1122217","OG-GY-LG1"
"G1122274","MG-BK-BK1-NR"
"G1122306","CG-TR-BR1-NR"
"G1122306","FOG-WH-RS1-RF"
"G1122307","OG-TL-TL1"
"G1122316","OG-GY-CH1"
"G1122316","OG-PR-PR1"
"G1122322","OG-BK-AM1"
"G1122323","OG-GY-LG1"
"G1122323","MG-BK-BK1-NR"
"G1122333","OG-BK-BL1"
"G1122333","FOG-BL-BL1-RF"
"G1122339","FBFG-WD-CP1-RF"
"G1122340","VRG-GY-RS2-RF"
"G1122394","RG-BLFLW-BL4-RF"
"G1122394","CG-YL-RS1-FE"
"G1122394","MG-TL-PK1-RF"
"G1122396","CG-TR-BR1-NR"
"G1122396","MG-TR-BR1-NR"
"G1122405","BFG-BK-AM2-RF"
"G1122405","MG-GY-BK1-FE"
"G1122415","RG-CL-RB1-RF"
"G1122442","FOG-BL-BL1-RF"
"G1122487","OG-PR-PR1"
"G1122487","OG-BL-BL1"
"G1122498","OG-GY-CH1"
"G1122504","OG-PR-PR1"
"G1122512","OG-TL-TL1"
